species	chemical	frequency	pmid
Abies balsamea	carbon	39	37533970, 36906726, 36110871, 36018569, 32726307, 31117507, 27658686, 26975315, 26029235, 25225397, 24861414, 18708643, 16585037, 15996964, 28547020, 11276418, 28308769
Abies balsamea	hnb	5	37142965
Abies balsamea	nitrogen	23	36110871, 28668749, 34345442, 27658686, 27316353, 25225397, 25139238, 17057985, 16585037, 12020367, 28547020, 11340042, 11302853, 28308769, 14871691
Abies balsamea	n	38	36110871, 28668749, 25139238, 22077965, 16585037, 28308769, 28313739, 14969931
Abies balsamea	phosphorus	3	36110871, 11340042
Abies balsamea	p	4	36110871, 22077965, 28313739, 28312645
Abies balsamea	essential oils	1	35906288
Abies balsamea	ss-pinene	2	35906288
Abies balsamea	oil	4	35906288, 16619365, 12802719
Abies balsamea	essential oil	8	35906288, 16619365, 12802719
Abies balsamea	co2	2	37283699, 11340042
Abies balsamea	ribulose-1,5-bisphosphate	1	37283699
Abies balsamea	rubp	1	37283699
Abies balsamea	water	43	34143806, 32726307, 28985379, 28207782, 26635863, 25270601, 23874347, 23604743, 26784337, 21489968, 18450571, 18058024, 17169902, 14757581, 11986053, 11960755, 11340042, 14966008, 14972929, 856724
Abies balsamea	cis-abienol	18	33033333, 31117507, 22337889
Abies balsamea	diterpene-diol	1	33033333
Abies balsamea	labda-13-en-8-ol diphosphate	1	33033333
Abies balsamea	diterpene	4	33033333, 31117507, 22337889
Abies balsamea	mevalonate	4	33033333, 31117507
Abies balsamea	glucose	10	33033333, 31117507, 26454474, 26164238, 23864882, 12651363
Abies balsamea	ecotone	1	31379909
Abies balsamea	diterpenoid	2	31117507, 22337889
Abies balsamea	methylerythritol phosphate	1	31117507
Abies balsamea	mep	2	31117507
Abies balsamea	mva	1	31117507
Abies balsamea	isopropyl myristate	1	31117507
Abies balsamea	propidium iodide	1	29378549
Abies balsamea	4kgnh4cl-nha-1yr	1	28668749
Abies balsamea	sulfur	1	34345442
Abies balsamea	methicillin	1	27769946
Abies balsamea	monoterpene	6	27769946, 22077965, 28547020, 28308769
Abies balsamea	sesquiterpenes	4	27769946, 26029235, 16619365, 12802719
Abies balsamea	diterpenes	2	27769946, 22337889
Abies balsamea	resin acids	1	27769946
Abies balsamea	isopimaric acid	1	27769946
Abies balsamea	levopimaric acid	1	27769946
Abies balsamea	phyllosphere	8	27635335, 27316353
Abies balsamea	sdi	1	26975315
Abies balsamea	rubidium	2	26920559
Abies balsamea	rb	10	26920559, 18058024
Abies balsamea	rubidium chloride	1	26920559
Abies balsamea	rbcl	3	26920559
Abies balsamea	ethylene	33	26635863, 12651363, 14871721, 14966008, 14972810
Abies balsamea	tetraterpenoids	5	26592897, 22394397
Abies balsamea	carotenoid	2	26592897, 11302853
Abies balsamea	abibalsamins	1	26592897
Abies balsamea	1d	2	26592897, 23946828
Abies balsamea	2d	3	26592897, 23946828, 22394397
Abies balsamea	abibalsamins b	1	26592897
Abies balsamea	h-j	1	26592897
Abies balsamea	fatty acid	1	26454474
Abies balsamea	glutamine	1	26454474
Abies balsamea	glutamic acid	1	26454474
Abies balsamea	linolenic	1	26454474
Abies balsamea	linoleic	1	26454474
Abies balsamea	oleic	1	26454474
Abies balsamea	stearic acids	1	26454474
Abies balsamea	volicitin	1	26454474
Abies balsamea	dehydroabietic acid	3	26164238
Abies balsamea	abietic acid	2	26164238
Abies balsamea	squalene	2	26164238
Abies balsamea	hexane	1	26164238
Abies balsamea	sugars	3	26029235, 28547020, 28308769
Abies balsamea	starch	11	26029235, 12651363, 28547020, 28308769
Abies balsamea	terpenoids	2	26029235, 23946828
Abies balsamea	monoterpenes	16	26029235, 21796758, 16619365, 12802719, 28547020, 28308769
Abies balsamea	glutathione	3	25270601, 12802719
Abies balsamea	ethanol	2	25270601, 26784337
Abies balsamea	methanol	1	25270601
Abies balsamea	sephadex lh	1	25270601
Abies balsamea	lignan	1	25270601
Abies balsamea	lariciresinol 9'-p-coumarate	2	25270601
Abies balsamea	flavonoid	1	25270601
Abies balsamea	taxifolin	2	25270601
Abies balsamea	diethyl maleate	1	25270601
Abies balsamea	nh4no3	1	25139238
Abies balsamea	no3	1	25139238
Abies balsamea	nh4	1	25139238
Abies balsamea	po4	1	25139238
Abies balsamea	mg	6	25139238, 22077965, 18058024, 14969931
Abies balsamea	so4	2	25139238
Abies balsamea	al	6	25139238, 18058024
Abies balsamea	fe	3	25139238, 18058024
Abies balsamea	xanthophylls	1	24368754
Abies balsamea	lanostane	2	23946828, 22394397
Abies balsamea	cycloartane	2	23946828
Abies balsamea	triterpenoids	2	23946828
Abies balsamea	balsamea oleoresin	1	23946828
Abies balsamea	3,4-seco-lanostane	1	23946828
Abies balsamea	triterpenoid	1	23946828
Abies balsamea	abiesonic acid	1	23946828
Abies balsamea	srl	3	23874347
Abies balsamea	d	1	23874347
Abies balsamea	bi	2	23874347
Abies balsamea	glycogen	1	23864882
Abies balsamea	polyethylene	1	23604743
Abies balsamea	reactive oxygen species	2	26784337, 12802719
Abies balsamea	ros	5	26784337, 12802719
Abies balsamea	pycnogenol	1	26784337
Abies balsamea	abibalsamins a and b	1	22394397
